Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,17:00,27.0,4.6,270.0,,,,,,,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,18:00,25.1,1.0,299.5,1010.8,22.7,91.4,0.1,0.0,86.6,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,19:00,23.0,1.5,278.6,1011.8,20.7,90.0,0.3,0.0,86.8,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,20:00,22.4,1.3,295.7,1012.7,20.2,100.0,0.2,0.0,87.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,21:00,21.8,0.9,318.1,1013.6,19.8,100.0,0.2,0.0,88.2,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,22:00,21.4,0.7,308.1,1013.8,19.5,100.0,0.1,0.0,89.0,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-04,23:00,21.1,0.4,305.7,1013.7,19.3,100.0,0.1,0.0,89.0,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,00:00,20.7,0.6,304.3,1013.5,19.0,100.0,0.0,0.0,90.0,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,01:00,20.5,0.4,294.3,1013.1,18.9,100.0,0.0,0.0,90.6,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,02:00,20.3,0.4,235.7,1012.3,18.9,94.3,0.0,0.0,91.6,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,03:00,20.1,0.7,198.1,1011.8,18.8,100.0,0.0,0.0,92.5,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,04:00,19.9,0.8,247.2,1011.7,18.7,100.0,0.0,0.0,92.8,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,05:00,19.9,0.4,342.8,1012.8,18.8,100.0,0.0,0.0,93.1,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,06:00,20.0,0.3,139.6,1013.3,18.9,100.0,0.1,10.0,93.5,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,07:00,20.1,0.8,198.1,1013.9,19.0,100.0,0.1,10.0,93.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,08:00,21.2,0.8,162.8,1014.4,19.5,92.8,0.0,0.0,89.8,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,09:00,22.6,0.7,136.1,1014.7,20.1,100.0,0.1,0.0,85.5,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,10:00,26.5,0.8,81.4,1014.5,23.1,100.0,0.1,0.0,81.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,11:00,27.6,1.0,7.7,1013.8,22.9,100.0,0.0,0.0,76.1,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,12:00,28.5,1.1,356.3,1012.8,22.7,100.0,0.0,0.0,71.2,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,13:00,29.7,1.4,0.4,1011.7,24.2,90.0,0.1,0.0,72.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,14:00,30.1,1.6,338.1,1010.6,24.5,90.0,0.2,0.0,72.0,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,15:00,29.9,1.4,328.1,1009.9,24.1,92.8,0.4,0.0,71.5,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,16:00,28.5,1.5,356.3,1009.6,23.8,92.8,0.1,0.0,75.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,17:00,25.2,0.6,40.0,1010.5,21.7,89.0,0.1,0.0,81.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,18:00,24.4,0.9,287.2,1011.4,21.8,92.8,0.1,0.0,85.1,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,19:00,23.4,1.3,270.0,1012.6,21.0,99.0,0.0,0.0,86.3,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,20:00,22.7,1.3,285.7,1013.8,20.5,100.0,0.4,0.0,87.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,21:00,22.4,0.8,274.3,1014.6,20.4,100.0,0.4,0.0,88.3,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,22:00,22.2,0.6,230.0,1014.7,20.9,100.0,0.1,0.0,92.4,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-05,23:00,21.8,0.5,149.4,1014.7,20.6,100.0,0.0,0.0,92.9,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-06,00:00,21.6,0.4,211.4,1014.3,20.4,100.0,0.0,0.0,93.0,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-06,01:00,21.4,0.3,221.4,1013.6,20.2,100.0,0.0,0.0,92.8,Nublado
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-06,02:00,21.4,0.3,196.7,1013.0,20.1,100.0,0.2,0.0,92.8,Nublado - Llovizna
76001000,3.414419,-76.52156,,Valle del Cauca,2021-01-06,03:00,21.0,0.5,168.1,1012.3,19.9,100.0,0.1,0.0,93.3,Nublado - Llovizna
